name,sumPlacement,amountJoined,amountTopped
Altulo,51,3,1
Palazuelos,325,12,1
Magic Trumpet Man,3,1,1
Summers,427,16,3
Enif,5,1,1
RickX,5,1,1
z0mfg,7,1,1
OsoPalita3,220,6,1
Kuzanagi,36,4,3
Zeppo,9,1,0
Shuflux,9,1,0
Sebacena,67,5,2
Erv,13,1,0
Awer555,209,5,0
Hgrb,13,1,0
Grima,79,3,0
SCMC,17,1,0
Juan Andres,17,1,0
S1rlo,311,7,0
SrJoseph,17,1,0
Crvaz,17,1,0
Riku,17,1,0
Gamer Freak Edy,83,3,0
1809,17,1,0
LLS-SMX199,32,2,1
Panda,25,1,0
JeWolf,25,1,0
Kirbyfan,551,15,0
Soggyhondo,25,1,0
Pacsoad,25,1,0
Flamenco,25,1,0
Estefanía,25,1,0
Doc Cc,33,1,0
Robburitto,33,1,0
Hadez,33,1,0
Skebas,33,1,0
Rw44,33,1,0
0PR3S0R,33,1,0
Shoba,33,1,0
Hedgy,278,13,5
Jumpboy,33,1,0
El Tonkas,131,3,0
guaxxxo,99,3,0
D.danger,33,1,0
ElFoco,33,1,0
DonPapaDon,33,1,0
Arises,33,1,0
Mafu,33,1,0
Kamina,49,1,0
Choko1000k,49,1,0
Gume13963,49,1,0
Mika,139,7,3
Daybreak,1,1,1
Doorstop,4,3,3
Nicko,3,1,1
Kepler,4,1,1
Linus,5,1,1
Roxas,5,1,1
Lavish,7,1,1
Yoderlaheehoo,7,1,1
Winter,107,3,0
Superhero,9,1,0
Aquatic,9,1,0
The Bowz,9,1,0
Dice,13,1,0
OG Derek,23,3,2
thicc nicc,13,1,0
Hex,13,1,0
EXO,17,1,0
Glacey,17,1,0
smasher1001,17,1,0
Parrymaster,17,1,0
PC3X,17,1,0
aqua,17,1,0
Hawk,17,1,0
triscuit,17,1,0
PeachesOHKO,25,1,0
Spection,25,1,0
IvyN,25,1,0
JADO,25,1,0
Kyronic,25,1,0
Oz!,25,1,0
RYAQN,25,1,0
Camel,25,1,0
Melonz,82,2,0
Fraudit,33,1,0
!Avien,131,3,0
Chia,33,1,0
BANG!,33,1,0
Rakun,33,1,0
Boingboingsplat,33,1,0
Hjarta,33,1,0
Metallious,33,1,0
Mastagrass,33,1,0
HardLarry,33,1,0
Pikmanz,33,1,0
kreg,33,1,0
AceDeuce,33,1,0
Goof,33,1,0
zinkus,33,1,0
TyChi,49,1,0
BuggaO01,49,1,0
CJBubblesVR,49,1,0
JJV,49,1,0
Lightz,49,1,0
HyperGlaceon,49,1,0
Sliggins,49,1,0
Darunia,49,1,0
ETHBK,49,1,0
Polywow44,49,1,0
Blitz,49,1,0
Zenyou,18,2,1
Guts,9,2,2
BryBry,12,2,1
Ki,13,2,1
Luffs,5,1,1
Marley,13,3,3
HLB,9,2,2
Ant,7,1,1
JTab,88,4,0
Zandømø,9,1,0
| Gappy,12,2,1
Kiyarash,111,7,0
h_,13,1,0
Whimsy,64,4,0
Nexus,174,6,0
"77, 77, 777, 77, 7 777 7",13,1,0
AKu,51,3,0
Jeski123,17,1,0
Cheesecake,17,1,0
SM,30,2,0
Bobthedusclops,26,2,0
JSlayer,42,2,0
PSIguy,34,2,0
LEWK,17,1,0
Daftcues,74,2,0
FatGirlz,50,2,0
ChaoticD,42,2,0
BirdUp,25,1,0
Based,58,2,0
canvas,25,1,0
